4371 SPACE STATEMENT          MISSING RIGHT PARENTHESIS IN SPACE STATEMENT      
4381 WRITE STATEMENT          MISSING LEFT PARENTHESIS IN WRITE STATEMENT       
4391 WRITE STATEMENT          IMPROPER FILE IDENTIFIER IN WRITE STATEMENT       
4401 WRITE STATEMENT          IMPROPER DELIMITER FOR FIRST PARAMETER IN         
4402                          WRITE STATEMENT                                   
4411 WRITE STATEMENT          MISSING RIGHT BRACKET IN CARRIAGE CONTROL         
4412                          PART OF WRITE STATEMENT                           
4421 WRITE STATEMENT          ILLEGAL CARRIAGE CONTROL DELIMITER IN WRITE       
4422                          STATEMENT                                         
4431 WRITE STATEMENT          IMPROPER SECOND PARAMETER DELIMITER IN WRITE      
4432                          STATEMENT                                         
4441 WRITE STATEMENT          IMPROPER ROW DESIGNATOR IN WRITE STATEMENT        
4451 WRITE STATEMENT          MISSING RIGHT PARENTHESIS AFTER                   
4452                          ROW DESIGNATOR IN WRITE STATEMENT                 
4461 WRITE STATEMENT          MISSING ROW DESIGNATOR IN WRITE STATEMENT         
4471 WRITE STATEMENT          IMPROPER DELIMITER PRECEDING LIST IN WRITE        
4472                          STATEMENT                                         
4481 WRITE STATEMENT          IMPROPER LIST DELIMITER IN WRITE STATEMENT        
4491 READ STATEMENT           IMPROPER LIST DELIMITER IN READ STATEMENT         
